Report generated on: 04-02-2024 16:48:16
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.11-2-AFG-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.130-2-AFG-TST.A","            Metallurgical coal (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.12-2-AFG-TST.A","            Bituminous (Mst)","131.17505","137.78892","159.83515","159.83515","163.14208","166.44902","176.36982","184.086","152.11897","139.99354","115.74269","103.61727","8.81849","7.71618","6.61387","5.51156","3.30693","2.20462","2.20462","1.10231","1.10231","28.6601","23.14854","38.5809","37.47859","36.37627","38.5809","112.233606115","185.88631223","326.936456365","547.3530205","693.690240705","840.02746091","937.80957693819","754.53556786377","734.0670964506","1045.9240161586","1141.0523896553","1236.180763152","1331.3091366486","1097.706680413","1845.26694","1701.4045009665"
"INTL.119-2-AFG-TST.A","            Subbituminous (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.14-2-AFG-TST.A","            Lignite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.21-2-AFG-TST.A","        Metallurgical coke (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.87170584535"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","    Consumption","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.7-2-ALB-TST.A","        Coal (Mst)","1741.6497776720046","1862.9039000185755","2083.3659000232215","2259.7355000245907","2447.1282000257797","2612.4747000271486","2568.382956998768","2678.6125923891977","2689.6362254527867","2681.9199554412767","2364.4563401107366","1330.4879393561407","348.3316931056262","227.0784796518957","186.2922775650374","155.4230036534095","124.56117712625043","88.73362548888437","54.895182072574734","67.68160744689976","80.46775178285903","89.28645502061228","68.3427509106872","70.5478237951879","65.03634154825494","59.524695022421085","89.01227197202894","118.5009994135411","147.9871389721581","177.47191000000052","162.04706570800326","146.62222141600134","131.1973771240038","115.772532832","144.50402251999748","123.4817814275057","105.1218182173459","136.24965","195.69233039917","238.25797140001","261.53702038156","405.63274507294","428.42994115977"
"INTL.11-2-ALB-TST.A","            Anthracite (Mst)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.00735320634"
